"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @suga_milano: #SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,0,NA,2021-12-05 06:49:37,FALSE,NA,"1467385653642113025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mintania92",5,TRUE,FALSE,NA,NA
"RT @suga_milano: #SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,0,NA,2021-12-05 06:44:46,FALSE,NA,"1467384435201175553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HighMinPD",5,TRUE,FALSE,NA,NA
"RT @suga_milano: #SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,0,NA,2021-12-05 06:39:55,FALSE,NA,"1467383214092132355",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suga93solo",5,TRUE,FALSE,NA,NA
"RT @suga_milano: #SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,0,NA,2021-12-05 06:25:09,FALSE,NA,"1467379498999902209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","legendMin93",5,TRUE,FALSE,NA,NA
"RT @suga_milano: #SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,0,NA,2021-12-05 06:24:35,FALSE,NA,"1467379354200166404",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaZe1410",5,TRUE,FALSE,NA,NA
"#SUGA
#BTSrapline
#btsLAConcert 

God rapper 🤟

https://t.co/30vS8hAo8c",FALSE,6,NA,2021-12-05 06:23:13,FALSE,NA,"1467379010317561857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suga_milano",5,FALSE,FALSE,NA,NA
"RT @Shellyquotes_: Isn't our kookie the cutest 🥺💜.
I really love him a lot✨💜
#BTSCONCERT  #BTSARMY  #BTS_PTD_LA  #BTS #BTSPermissionToDance…",FALSE,0,NA,2021-12-05 00:57:29,FALSE,NA,"1467297036135452685",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoxieMarie67",1,TRUE,FALSE,NA,NA
"Sitting in the front row of them right then be like...
#BTS #BTSARMY #btsconcertLA #BTSSoFiStadium… https://t.co/aYg4lCEout",FALSE,2,NA,2021-12-04 22:48:55,TRUE,NA,"1467264682507399173",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dear_Diary_WTF",0,FALSE,FALSE,NA,NA
"J-Hope in
2018.           2019.           2021
#jhope #SoFiStadium #btsLAConcert https://t.co/IpNUlzN0p8",FALSE,1,NA,2021-12-04 13:10:13,FALSE,NA,"1467119048546656258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnushaThakur18",0,FALSE,FALSE,NA,NA
"No longer a Mochi .....so hot !🔥
#btsLAConcert 
#ParkJimin https://t.co/qm8VlDplOW",FALSE,0,NA,2021-12-04 08:04:21,FALSE,NA,"1467042075317510144",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jimin_mygalaxy",0,FALSE,FALSE,NA,NA
"Pretty Boy Park Jimin ....
#btsLAConcert 
#ParkJimin https://t.co/M8cIAQbd6H",FALSE,0,NA,2021-12-04 08:01:00,FALSE,NA,"1467041230957674499",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jimin_mygalaxy",0,FALSE,FALSE,NA,NA
"the whole plane/airport at chicago midway was armys, so southwest asked who was there for bts and played save me on… https://t.co/VQLyo09YnU",FALSE,2,NA,2021-12-04 03:41:42,TRUE,NA,"1466975975648989184",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ShyBoySuga_7",0,FALSE,FALSE,NA,NA
"#bts #BTSARMY #btsLAConcert #SEOKJIN
#JINDAY #JinBirthday #BTSPermissionToDanceOnStageLA

the next few days 'me' wh… https://t.co/M8s8HBMbrZ",FALSE,2,NA,2021-12-03 20:48:59,TRUE,NA,"1466872112375861249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_jinkookie9297_",0,FALSE,FALSE,NA,NA
"My Universe!🥰💜💜💜 Last night performance was littyyyy!🔥
#BTSPermissionToDanceOnStageLA #BTSCONCERT #btsLAConcert… https://t.co/yHJMMjL3bm",FALSE,0,NA,2021-12-03 18:57:03,TRUE,NA,"1466843943589449729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jiminieamoi",0,FALSE,FALSE,NA,NA
"BTS with their opening speeches part 3 (last part) on day 1! #BTS #BTSCONCERT #BTSSoFiStadium… https://t.co/9VC7sU8U7S",FALSE,1,NA,2021-12-03 18:23:57,TRUE,NA,"1466835614054051844",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonchfangirl",0,FALSE,FALSE,NA,NA
"BTS opening speeches part 2 on day 1!  
#BTS #BTSCONCERT #BTSSoFiStadium #BTSPermissionToDanceOnStageLA… https://t.co/baUS0vQQeG",FALSE,0,NA,2021-12-03 18:20:09,TRUE,NA,"1466834657870172161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonchfangirl",0,FALSE,FALSE,NA,NA
"BTS with their opening speeches part 1 on day 1! #BTS #BTSCONCERT #BTSSoFiStadium #BTSPermissionToDanceOnStageLA… https://t.co/q1oefR86Pe",FALSE,1,NA,2021-12-03 18:16:00,TRUE,NA,"1466833612842565634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonchfangirl",0,FALSE,FALSE,NA,NA
"BTS performing Black Swan part 2 on day 1! #BTS #BTSCONCERT #BTSSoFiStadium #BTSPermissionToDanceOnStageLA… https://t.co/C4EVH7ksCd",FALSE,2,NA,2021-12-03 18:10:29,TRUE,NA,"1466832224561491969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonchfangirl",0,FALSE,FALSE,NA,NA
"BTS with Intro then performing Black Swan part 1 on day 1! #BTS #BTSCONCERT #BTSSoFiStadium… https://t.co/Phb5aDeRPi",FALSE,1,NA,2021-12-03 18:06:13,TRUE,NA,"1466831151117393920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonchfangirl",0,FALSE,FALSE,NA,NA
"New vlog! https://t.co/vbOY22r3cw
#bts #BTSPermissionToDanceOnStageLA #BTSLIVE #btsLAConcert #BTSLA #BTSCONCERT… https://t.co/B6exEQu0Vz",FALSE,0,NA,2021-12-03 15:28:48,TRUE,NA,"1466791534896943104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moskpoppage",0,FALSE,FALSE,NA,NA
"Excuse me babe?💜
(focus on his face please😊)
ctto.

#jimin #BTS #BTS #BTSARMY #btsLAConcert https://t.co/640wGwzOXK",FALSE,2,NA,2021-12-03 14:15:14,FALSE,NA,"1466773023189778438",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patchrayadecass",0,FALSE,FALSE,NA,NA
"World stops and my heart too ,Taehyung. 💜

#KIMTAEHYUNG #bts #BTSARMY #PTD_ON_STAGE_LA #BTSCONCERT #btsLAConcert https://t.co/bmrf9LYNzV",FALSE,0,NA,2021-12-03 10:04:06,FALSE,NA,"1466709821030387714",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","girlwith_LouV",0,FALSE,FALSE,NA,NA
"""I got taehyungs jacket"". ""I got taehyungs glasses"". ""Taehyung just waved at me"".

I'm so happy for everyone that g… https://t.co/SN1r320lTc",FALSE,4,NA,2021-12-03 09:01:28,TRUE,NA,"1466694061440610307",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Cybercatszz_025",0,FALSE,FALSE,NA,NA
"How can I just express my happiness rn.💜☺️ Thank u BTS, thank u Army for sharing these wonderful moments🙏🙏🙏… https://t.co/2XL86aw3JK",FALSE,5,NA,2021-12-03 07:22:20,TRUE,NA,"1466669113053368321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrauSynthetiks",0,FALSE,FALSE,NA,NA
"Day 4, done!!
#PTD_ON_STAGE_LA_Day4 #PermissionToDanceOnStage_LA #Day4 #BTSCONCERT #btsLAConcert https://t.co/FdZvwJq8JK",FALSE,2,NA,2021-12-03 06:46:14,FALSE,NA,"1466660028493213696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ryianqt",0,FALSE,FALSE,NA,NA
"to my forever seven, thank you so much for everything. always and forever i love you so much ! ♡

#BTS… https://t.co/ghHeLDSSsl",FALSE,0,NA,2021-12-03 06:38:14,TRUE,NA,"1466658013926752257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wonieeyaaa",0,FALSE,FALSE,NA,NA
"I'M HAPPY NOW!!!!!😭😭😭😭😭😭
@BTS_twt @coldplay #bts #btsLAConcert https://t.co/Wk0eaOpVHt",FALSE,0,NA,2021-12-03 06:33:41,FALSE,NA,"1466656870848864267",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inipaksiaa",0,FALSE,FALSE,NA,NA
"OMG Chris Martin!
2 of my fave bands BTSxColdplay!

#BTS #btsconcertd4 #btsLAConcert #BTSPermissionToDanceOnStageLA… https://t.co/t0wRZqGsZC",FALSE,1,NA,2021-12-03 06:26:45,TRUE,NA,"1466655125884203008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tintinzeronine",0,FALSE,FALSE,NA,NA
